descriptor_stack,k,system,T_K,snap,dFcorr_true_meVatom,dFcorr_knn_median_meVatom,abs_representation_mismatch_meVatom,median_cross_state_neighbor_distance,neighbor_target_IQR_meVatom
d3_SLE_Voro_q6,10,beta-TiV,600.0,44,6.31873292601004,3.7839108355957607,2.5348220904142793,2.744318324727621,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,45,6.0860627523783295,3.876599282631177,2.2094634697471527,2.801758314031569,4.246149316431219
d3_SLE_Voro_q6,10,beta-TiV,600.0,46,6.0436213535634,9.254252255719075,3.2106309021556756,2.7644379692880348,0.14320155850161553
d3_SLE_Voro_q6,10,beta-TiV,600.0,47,5.79929396787382,9.125520058889085,3.3262260910152666,2.8292937666808164,4.063839066227322
d3_SLE_Voro_q6,10,beta-TiV,600.0,48,6.536136641913604,3.7631859661658162,2.7729506757477873,2.6536031133436495,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,49,6.134672351945203,3.7839108355957607,2.350761516349442,2.7036194990741667,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,50,5.993419682822132,3.7631859661658162,2.2302337166563158,2.7053867746928195,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,51,5.687944260227507,3.9816862689844164,1.7062579912430902,2.8166161273516597,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,52,6.106375547986542,3.7631859661658162,2.343189581820726,2.778405899170094,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,53,6.167446479739991,3.7631859661658162,2.4042605135741746,2.7701559225846606,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,54,6.096059706848845,3.7631859661658162,2.332873740683028,2.707782714269541,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,55,5.953144459109605,3.7631859661658162,2.1899584929437887,2.7766783551232272,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,56,5.88445149566319,9.087493476927582,3.203041981264393,2.8215580255628483,5.402822093565892
d3_SLE_Voro_q6,10,beta-TiV,600.0,57,5.8701177157926,3.7631859661658162,2.1069317496267836,2.7492008744936016,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,58,5.905501017137493,3.7839108355957607,2.1215901815417326,2.7838705525517176,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,59,6.052101076025441,3.7631859661658162,2.288915109859624,2.7735524313232442,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,60,6.081617563098607,3.9816862689844164,2.0999312941141905,2.8055627208041827,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,61,6.454191416712607,3.7901351685590696,2.6640562481535373,2.792738577721876,0.39161333336173304
d3_SLE_Voro_q6,10,beta-TiV,600.0,62,5.793766592980032,3.7631859661658162,2.0305806268142157,2.7546184888633403,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,63,6.1598091192111015,3.9816862689844164,2.178122850226685,2.8122930818637775,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,64,6.195090257979818,3.876599282631177,2.3184909753486416,2.7967233118055557,4.246149316431219
d3_SLE_Voro_q6,10,beta-TiV,600.0,65,6.066382035600338,6.49594072330642,0.4295586877060831,2.8177920954118267,5.3652390322705825
d3_SLE_Voro_q6,10,beta-TiV,600.0,66,6.5675944195737195,3.7839108355957607,2.7836835839779583,2.701343195575868,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,67,5.794092474746937,3.7839108355957607,2.010181639151176,2.628918238333906,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,68,6.205222114566422,3.7631859661658162,2.442036148400606,2.7719548310138116,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,69,5.613591945705321,3.9816862689844164,1.6319056767209044,2.8177661537937126,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,70,6.465041365444901,3.7631859661658162,2.701855399279085,2.7891343985843045,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,71,6.235838542429595,9.213797867223539,2.977959324793944,2.826959054704175,0.27808595269701586
d3_SLE_Voro_q6,10,beta-TiV,600.0,72,6.539283293150011,3.7631859661658162,2.776097326984195,2.729605419208535,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,73,6.0063462041954345,3.7839108355957607,2.2224353685996734,2.682735805311787,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,74,6.057278376885411,3.7839108355957607,2.2733675412896504,2.7375920218390766,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,75,6.207039934559622,3.7631859661658162,2.4438539683938054,2.769873539349794,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,76,5.931111321632432,9.254252255719075,3.3231409340866436,2.779082735354144,0.14320155850161553
d3_SLE_Voro_q6,10,beta-TiV,600.0,77,6.059677160668631,3.7839108355957607,2.27576632507287,2.6769061451735343,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,78,6.168820495406624,3.7839108355957607,2.3849096598108632,2.7698920040096464,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,79,5.708412252640405,3.7631859661658162,1.9452262864745884,2.7209437988082543,0.20628394056727145
d3_SLE_Voro_q6,10,beta-TiV,600.0,80,6.079401851992405,3.7631859661658162,2.316215885826589,2.7919200096871055,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,81,5.494297915206115,3.7839108355957607,1.7103870796103537,2.7869999640665655,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,82,5.914120804505818,3.7839108355957607,2.1302099689100573,2.7694387815520902,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,83,6.234694988038026,3.7631859661658162,2.471509021872209,2.751329858822756,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,84,5.952444905018506,6.49594072330642,0.5434958182879146,2.8184735706695845,5.3652390322705825
d3_SLE_Voro_q6,10,beta-TiV,600.0,85,5.780586785206932,3.8004765866720276,1.9801101985349039,2.7948125613844423,0.33086343960580383
d3_SLE_Voro_q6,10,beta-TiV,600.0,86,5.454861108675435,9.254252255719075,3.7993911470436403,2.8135418731008177,0.14320155850161553
d3_SLE_Voro_q6,10,beta-TiV,600.0,87,6.03690144575364,9.254252255719075,3.2173508099654358,2.7732398427610674,0.14320155850161553
d3_SLE_Voro_q6,10,beta-TiV,600.0,88,6.185466467863943,6.49594072330642,0.31047425544247775,2.8240385694352765,5.3652390322705825
d3_SLE_Voro_q6,10,beta-TiV,600.0,89,6.19981824094501,3.7839108355957607,2.415907405349249,2.642303460571666,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,90,5.872606931114522,3.7839108355957607,2.0886960955187606,2.638777901537159,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,91,6.125675776760819,3.7631859661658162,2.362489810595003,2.7682425431981814,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,92,5.577633060729004,3.7631859661658162,1.8144470945631874,2.7871807468987226,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,93,5.920110278883617,9.236896388671534,3.316786109787917,2.797824733239155,0.17238474064673603
d3_SLE_Voro_q6,10,beta-TiV,600.0,94,6.173199409150232,3.8004765866720276,2.372722822478204,2.7970824471761757,0.33086343960580383
d3_SLE_Voro_q6,10,beta-TiV,600.0,95,5.536240246372504,3.876599282631177,1.6596409637413267,2.8033906746927717,4.246149316431219
d3_SLE_Voro_q6,10,beta-TiV,600.0,96,6.135286432840726,3.7631859661658162,2.372100466674909,2.6825245622686085,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,97,6.416170829293744,3.9816862689844164,2.4344845603093273,2.8095229680164007,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,98,5.767371546858802,3.7631859661658162,2.0041855806929854,2.7458918660860245,0.20628394056727145
d3_SLE_Voro_q6,10,beta-TiV,600.0,99,6.01237419171341,3.8004765866720276,2.2118976050413823,2.7930811088546688,0.33086343960580383
d3_SLE_Voro_q6,10,beta-TiV,700.0,0,9.22772968104657,5.925610800258024,3.302118880788546,2.943149691463214,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,1,8.86629519532639,5.925610800258024,2.9406843950683657,2.9734164731599693,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,2,9.126885878956381,5.902280887273403,3.2246049916829778,2.855706577706184,0.20991341516803097
d3_SLE_Voro_q6,10,beta-TiV,700.0,3,9.220705269014084,5.902280887273403,3.318424381740681,2.7197842523504243,0.20991341516803097
d3_SLE_Voro_q6,10,beta-TiV,700.0,4,9.54709464067366,5.9840063836930355,3.563088256980623,2.840392698806337,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,5,9.138902099757873,5.925610800258024,3.213291299499849,2.959572236398688,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,6,9.98460229081588,5.925610800258024,4.058991490557856,2.8947697022867556,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,7,8.847269782710388,5.925610800258024,2.921658982452363,2.947539468409767,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,8,9.220702959117755,5.9840063836930355,3.236696575424719,2.9784325527368782,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,9,9.48237104961186,5.902280887273403,3.5800901623384562,2.842507984341894,0.20991341516803097
d3_SLE_Voro_q6,10,beta-TiV,700.0,10,9.600853666051679,5.925610800258024,3.6752428657936544,2.8439451875302586,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,11,9.28760616882246,5.9840063836930355,3.303599785129424,2.9898716490197,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,12,9.425092774591082,5.9840063836930355,3.441086390898046,2.9374212871526444,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,13,9.809886203478502,5.9840063836930355,3.8258798197854658,2.9016416580338555,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,14,9.572436694019304,5.9840063836930355,3.5884303103262685,2.8497045760805033,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,15,9.27288895911288,5.9840063836930355,3.2888825754198434,3.0157555774129525,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,16,9.487821097698468,5.9840063836930355,3.503814714005432,2.860080496084765,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,17,8.800791375494166,5.925610800258024,2.8751805752361417,3.058499411087773,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,18,9.568198477255985,5.925610800258024,3.6425876769979606,2.8568552595908625,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,19,8.90310734615446,5.925610800258024,2.977496545896435,3.0195902814724676,0.17742495683710502
d3_SLE_Voro_q6,10,beta-TiV,700.0,20,9.274199335761901,5.9840063836930355,3.2901929520688658,3.171116484370651,0.2397475685338435
d3_SLE_Voro_q6,10,beta-TiV,700.0,21,9.89623310482396,5.9840063836930355,3.9122267211309234,2.881400848369411,0.2397475685338435
